logdensity,dataset,model
-1.49615902655848,in-sample,functional
-1.48970589162969,in-sample,functional
-1.45330687981224,in-sample,functional
-1.48714282719529,in-sample,functional
-1.46934505927649,in-sample,functional
-1.51341083274862,in-sample,functional
-1.48285862723862,in-sample,functional
-1.46465132853659,in-sample,functional
-1.4478550308529,in-sample,functional
-1.50473235292837,in-sample,functional
-1.48653906274992,in-sample,functional
-1.51117758117577,in-sample,functional
-1.46387776940813,in-sample,functional
-1.43277384259106,in-sample,functional
-1.54151696586291,in-sample,functional
-1.52453061462148,in-sample,functional
-1.47729283659239,in-sample,functional
-1.45552249928472,in-sample,functional
-1.50015022096472,in-sample,functional
-1.47452510635001,in-sample,functional
-1.45950216402881,in-sample,functional
-1.47416827337491,in-sample,functional
-1.47695611986235,in-sample,functional
-1.47591887944007,in-sample,functional
-1.49638530975509,in-sample,functional
-1.47368551617104,in-sample,functional
-1.4789916257805,in-sample,functional
-1.45476808964928,in-sample,functional
-1.50738149696287,in-sample,functional
-1.50543162312004,in-sample,functional
-1.44646560022048,in-sample,functional
-1.47749070567203,in-sample,functional
-1.4193149956377,in-sample,functional
-1.45536142013287,in-sample,functional
-1.48767531776767,in-sample,functional
-1.47125750581116,in-sample,functional
-1.42049479338158,in-sample,functional
-1.42243772449661,in-sample,functional
-1.50900415817625,in-sample,functional
-1.48767959673872,in-sample,functional
-1.43901154040888,in-sample,functional
-1.48603276414378,in-sample,functional
-1.45818346404414,in-sample,functional
-1.49326612423574,in-sample,functional
-1.52705563994956,in-sample,functional
-1.47267923087653,in-sample,functional
-1.44608624333036,in-sample,functional
-1.44822687116338,in-sample,functional
-1.49723256251237,in-sample,functional
-1.42204969053784,in-sample,functional
-1.46951254505042,in-sample,functional
-1.44943642413655,in-sample,functional
-1.48961079581665,in-sample,functional
-1.49661250223796,in-sample,functional
-1.50268115428174,in-sample,functional
-1.4474050689268,in-sample,functional
-1.51340108844419,in-sample,functional
-1.4744288471496,in-sample,functional
-1.4132915225338,in-sample,functional
-1.41547124639018,in-sample,functional
-1.51412613597353,in-sample,functional
-1.5105092488163,in-sample,functional
-1.46536129448105,in-sample,functional
-1.48529319840801,in-sample,functional
-1.43693864762774,in-sample,functional
-1.46429579839386,in-sample,functional
-1.46281972030375,in-sample,functional
-1.51021855735702,in-sample,functional
-1.47200647597089,in-sample,functional
-1.46470512536648,in-sample,functional
-1.49418821888376,in-sample,functional
-1.46375929111468,in-sample,functional
-1.52758683573386,in-sample,functional
-1.52142083728535,in-sample,functional
-1.48300105785182,in-sample,functional
-1.46820458923853,in-sample,functional
-1.44093477734371,in-sample,functional
-1.46359456168308,in-sample,functional
-1.53791815118937,in-sample,functional
-1.46315864330279,in-sample,functional
-1.46426192360166,in-sample,functional
-1.46973068208165,in-sample,functional
-1.49492235531029,in-sample,functional
-1.49419115677717,in-sample,functional
-1.47213072342845,in-sample,functional
-1.51691424621244,in-sample,functional
-1.50120491936455,in-sample,functional
-1.50906759267269,in-sample,functional
-1.47000954069221,in-sample,functional
-1.45703999820083,in-sample,functional
-1.50877884171631,in-sample,functional
-1.44196309350252,in-sample,functional
-1.47464377596857,in-sample,functional
-1.49994883525428,in-sample,functional
-1.50684304138259,in-sample,functional
-1.49152556982875,in-sample,functional
-1.45691634552333,in-sample,functional
-1.44820205023237,in-sample,functional
-1.47856908520525,in-sample,functional
-1.47265887370104,in-sample,functional
-1.46906822751248,in-sample,functional
-1.50149185908702,in-sample,functional
-1.52274496247041,in-sample,functional
-1.44579545508229,in-sample,functional
-1.45063698801276,in-sample,functional
-1.45691011339422,in-sample,functional
-1.49355387181141,in-sample,functional
-1.4967128732304,in-sample,functional
-1.48763999545043,in-sample,functional
-1.49181878435511,in-sample,functional
-1.47774496626378,in-sample,functional
-1.47757470761402,in-sample,functional
-1.45314274955996,in-sample,functional
-1.50056951129635,in-sample,functional
-1.47912678404985,in-sample,functional
-1.48480415761305,in-sample,functional
-1.45919940077304,in-sample,functional
-1.46241468581397,in-sample,functional
-1.4426857115741,in-sample,functional
-1.47095390577499,in-sample,functional
-1.49290648252711,in-sample,functional
-1.4726038917572,in-sample,functional
-1.51925751298412,in-sample,functional
-1.43426254233152,in-sample,functional
-1.44763626623347,in-sample,functional
-1.4642698116763,in-sample,functional
-1.48411168364808,in-sample,functional
-1.48522734457941,in-sample,functional
-1.48459474799209,in-sample,functional
-1.4869016157596,in-sample,functional
-1.50056697731459,in-sample,functional
-1.51232107716908,in-sample,functional
-1.46258987896696,in-sample,functional
-1.49568473806583,in-sample,functional
-1.46954703413866,in-sample,functional
-1.50985636640736,in-sample,functional
-1.5016267543012,in-sample,functional
-1.48769570854294,in-sample,functional
-1.43271774929819,in-sample,functional
-1.43638632622328,in-sample,functional
-1.47951691526213,in-sample,functional
-1.49502074353173,in-sample,functional
-1.47944933550504,in-sample,functional
-1.51070232319657,in-sample,functional
-1.47385103845978,in-sample,functional
-1.46464152905492,in-sample,functional
-1.48449389284942,in-sample,functional
-1.50613559542643,in-sample,functional
-1.45225173641817,in-sample,functional
-1.44536426361845,in-sample,functional
-1.47190819167474,in-sample,functional
-1.51243804574994,in-sample,functional
-1.47521681510178,in-sample,functional
-1.43226195440198,in-sample,functional
-1.49465807267389,in-sample,functional
-1.43631158802766,in-sample,functional
-1.49769966314572,in-sample,functional
-1.52042653863132,in-sample,functional
-1.43712050744993,in-sample,functional
-1.47053776823013,in-sample,functional
-1.47203618206866,in-sample,functional
-1.51910467426854,in-sample,functional
-1.46559010457219,in-sample,functional
-1.48143129899646,in-sample,functional
-1.53462549427997,in-sample,functional
-1.49652217829085,in-sample,functional
-1.45107502534652,in-sample,functional
-1.48307983843321,in-sample,functional
-1.53648137977958,in-sample,functional
-1.46101035612208,in-sample,functional
-1.45295768525136,in-sample,functional
-1.47696405427509,in-sample,functional
-1.48962208913087,in-sample,functional
-1.50297714526091,in-sample,functional
-1.4654387233387,in-sample,functional
-1.46826349897411,in-sample,functional
-1.43449160892822,in-sample,functional
-1.51903796512865,in-sample,functional
-1.46977941694192,in-sample,functional
-1.47972852769106,in-sample,functional
-1.4914726153008,in-sample,functional
