logdensity,dataset,model
-1.60165516727816,in-sample,functional
-1.58209818162568,in-sample,functional
-1.62448494231966,in-sample,functional
-1.61232696866695,in-sample,functional
-1.54375287368685,in-sample,functional
-1.55180735162385,in-sample,functional
-1.58620521958681,in-sample,functional
-1.60407761898906,in-sample,functional
-1.57530784475102,in-sample,functional
-1.55599591134327,in-sample,functional
-1.5735122648629,in-sample,functional
-1.58609019931261,in-sample,functional
-1.58583820988003,in-sample,functional
-1.61298735387641,in-sample,functional
-1.58123699668683,in-sample,functional
-1.62908899819053,in-sample,functional
-1.62673231453508,in-sample,functional
-1.59528921122165,in-sample,functional
-1.60353332760246,in-sample,functional
-1.6012458815674,in-sample,functional
-1.59362402104566,in-sample,functional
-1.60062995507628,in-sample,functional
-1.57054320417088,in-sample,functional
-1.56054705005653,in-sample,functional
-1.59644078211058,in-sample,functional
-1.63831548872453,in-sample,functional
-1.62456174278663,in-sample,functional
-1.6031227200287,in-sample,functional
-1.58389372634345,in-sample,functional
-1.60620486045688,in-sample,functional
-1.56620315460441,in-sample,functional
-1.57799995623082,in-sample,functional
-1.57366178670199,in-sample,functional
-1.59296007411505,in-sample,functional
-1.60424993486604,in-sample,functional
-1.61993283266736,in-sample,functional
-1.53731593511394,in-sample,functional
-1.5611083500275,in-sample,functional
-1.60593870128706,in-sample,functional
-1.59974445809531,in-sample,functional
-1.62397678167621,in-sample,functional
-1.61857822953844,in-sample,functional
-1.61317170363041,in-sample,functional
-1.60063622162398,in-sample,functional
-1.61543578745959,in-sample,functional
-1.57290894215912,in-sample,functional
-1.6414335985398,in-sample,functional
-1.64139474512158,in-sample,functional
-1.62477814953051,in-sample,functional
-1.59054146754221,in-sample,functional
-1.57190387618756,in-sample,functional
-1.58721798419314,in-sample,functional
-1.58578909834379,in-sample,functional
-1.57329238657962,in-sample,functional
-1.59530950904646,in-sample,functional
-1.60496622380003,in-sample,functional
-1.57422808973265,in-sample,functional
-1.59048510781112,in-sample,functional
-1.59956039995737,in-sample,functional
-1.62941688979966,in-sample,functional
-1.60598109401415,in-sample,functional
-1.59983036685047,in-sample,functional
-1.64569850629581,in-sample,functional
-1.57452005130791,in-sample,functional
-1.62691754810768,in-sample,functional
-1.6309154246689,in-sample,functional
-1.59753034811043,in-sample,functional
-1.61706866748871,in-sample,functional
-1.63644272947299,in-sample,functional
-1.62369569506644,in-sample,functional
-1.60024684366736,in-sample,functional
-1.58840490700362,in-sample,functional
-1.62939970632983,in-sample,functional
-1.58636605762957,in-sample,functional
-1.609348453741,in-sample,functional
-1.59385021272045,in-sample,functional
-1.55882716785996,in-sample,functional
-1.5611578588116,in-sample,functional
-1.57494209605397,in-sample,functional
-1.5767227628751,in-sample,functional
-1.60382945793987,in-sample,functional
-1.61373369400454,in-sample,functional
-1.59657016816169,in-sample,functional
-1.57154491829686,in-sample,functional
-1.56588209177123,in-sample,functional
-1.60333115994654,in-sample,functional
-1.5732187932232,in-sample,functional
-1.56592412894777,in-sample,functional
-1.6412514710028,in-sample,functional
-1.58129958548609,in-sample,functional
-1.58408251417452,in-sample,functional
-1.57282754288608,in-sample,functional
-1.56586416591358,in-sample,functional
-1.58361883225643,in-sample,functional
-1.61385236378437,in-sample,functional
-1.57318739371209,in-sample,functional
-1.59341813205556,in-sample,functional
-1.58019907170667,in-sample,functional
-1.57669940853563,in-sample,functional
-1.60171376912611,in-sample,functional
-1.5412076423776,in-sample,functional
-1.54329112295455,in-sample,functional
-1.56581976105314,in-sample,functional
-1.56351414047666,in-sample,functional
-1.58489145292793,in-sample,functional
-1.59019447997465,in-sample,functional
-1.56261099366534,in-sample,functional
-1.5714762252076,in-sample,functional
-1.56662842708821,in-sample,functional
-1.58273283794824,in-sample,functional
-1.61842296801021,in-sample,functional
-1.5700695883913,in-sample,functional
-1.61732181365387,in-sample,functional
-1.5822836942931,in-sample,functional
-1.58073606989773,in-sample,functional
-1.56732928328177,in-sample,functional
-1.60994713281364,in-sample,functional
-1.61978016621543,in-sample,functional
-1.55012247702939,in-sample,functional
-1.54431861709326,in-sample,functional
-1.55089976050034,in-sample,functional
-1.59736803744211,in-sample,functional
-1.59981139493214,in-sample,functional
-1.58310932186576,in-sample,functional
-1.55154174559811,in-sample,functional
-1.5916621169769,in-sample,functional
-1.57860102590353,in-sample,functional
-1.5597231039467,in-sample,functional
-1.63235106311146,in-sample,functional
-1.63452129230362,in-sample,functional
-1.60791291098516,in-sample,functional
-1.54561283215994,in-sample,functional
-1.57170586443819,in-sample,functional
-1.57816637357166,in-sample,functional
-1.60235563837382,in-sample,functional
-1.59464539664527,in-sample,functional
-1.57812125803033,in-sample,functional
-1.59539796614846,in-sample,functional
-1.55243607372921,in-sample,functional
-1.56536903010804,in-sample,functional
-1.60524336150858,in-sample,functional
-1.57897372689104,in-sample,functional
-1.60736147411713,in-sample,functional
-1.58231070292267,in-sample,functional
-1.60430405908889,in-sample,functional
-1.63791174495978,in-sample,functional
-1.59911254894787,in-sample,functional
-1.58046247655927,in-sample,functional
-1.59327483044331,in-sample,functional
-1.60488253432149,in-sample,functional
-1.5935174535397,in-sample,functional
-1.61097446357318,in-sample,functional
-1.60055409455628,in-sample,functional
-1.6054130479055,in-sample,functional
-1.55118662626018,in-sample,functional
-1.57237815143093,in-sample,functional
-1.58779464751371,in-sample,functional
-1.56959340422981,in-sample,functional
-1.57772951172822,in-sample,functional
-1.574923378776,in-sample,functional
-1.57757111550394,in-sample,functional
-1.55589814863841,in-sample,functional
-1.57250051862753,in-sample,functional
-1.54235581035915,in-sample,functional
-1.54232366444406,in-sample,functional
-1.54966644488931,in-sample,functional
-1.57975410450013,in-sample,functional
-1.57717521632011,in-sample,functional
-1.61578820442094,in-sample,functional
-1.55057888855081,in-sample,functional
-1.54087067601937,in-sample,functional
-1.5407061347999,in-sample,functional
-1.53970852359349,in-sample,functional
-1.59435477171564,in-sample,functional
-1.59461212200876,in-sample,functional
-1.62669800542408,in-sample,functional
-1.57656531085648,in-sample,functional
-1.54984753406262,in-sample,functional
-1.56169379736398,in-sample,functional
-1.5391470414615,in-sample,functional
-1.55122242910868,in-sample,functional
-1.56386387141587,in-sample,functional
-1.60547410639814,in-sample,functional
-1.59830526286493,in-sample,functional
-1.59592680855035,in-sample,functional
-1.63447497598166,in-sample,functional
-1.60230650642099,in-sample,functional
-1.58051688014095,in-sample,functional
-1.55535848752959,in-sample,functional
-1.61371302029524,in-sample,functional
-1.58343098590178,in-sample,functional
-1.58077284698946,in-sample,functional
-1.57221399162257,in-sample,functional
-1.5639312353413,in-sample,functional
-1.58969582025207,in-sample,functional
-1.61367933955743,in-sample,functional
-1.5714485685086,in-sample,functional
-1.57903420932395,in-sample,functional
-1.583515320915,in-sample,functional
-1.59040466749951,in-sample,functional
-1.57508810404661,in-sample,functional
-1.56933631734312,in-sample,functional
-1.62586426172135,in-sample,functional
-1.63367567284857,in-sample,functional
-1.55106812189663,in-sample,functional
-1.56744089307794,in-sample,functional
-1.58914649532893,in-sample,functional
-1.62974596942662,in-sample,functional
